Date,Actual,Predicted
2022-12-26,82.45,83.23142
2022-12-27,82.45,83.64527
2022-12-28,81.7,82.83344
2022-12-29,80.96,82.83344
2022-12-30,82.82,83.32192
2022-12-31,82.82,82.695854
2023-01-01,82.82,84.10753
2023-01-02,82.82,84.60223
2023-01-03,80.36,78.00287
2023-01-04,75.31,80.432434
2023-01-05,76.73,74.894066
2023-01-06,76.41,77.81178
2023-01-07,76.41,77.417984
2023-01-08,76.41,76.46698
2023-01-09,77.5,76.95791
2023-01-10,78.4,78.05801
2023-01-11,81.11,77.86286
2023-01-12,82.59,80.58772
2023-01-13,83.43,81.4533
2023-01-14,83.43,82.89309
2023-01-15,83.43,84.24563
2023-01-16,82.65,78.467026
2023-01-17,84.38,82.29323
2023-01-18,83.78,84.86928
2023-01-19,85.08,82.598785
2023-01-20,86.96,86.80911
2023-01-21,86.96,86.21434
2023-01-22,86.96,86.81542
2023-01-23,87.54,86.52432
2023-01-24,85.25,86.455795
2023-01-25,85.08,84.32821
2023-01-26,86.29,86.06455
2023-01-27,85.36,86.82485
2023-01-28,85.36,83.7061
2023-01-29,85.36,85.942154
2023-01-30,84.9,86.01767
2023-01-31,83.42,85.01224
2023-02-01,81.61,83.65401
2023-02-02,80.57,80.77183
2023-02-03,78.85,79.45776
2023-02-04,78.85,79.074295
2023-02-05,78.85,77.89211
2023-02-06,80.48,78.06277
2023-02-07,82.92,81.430695
2023-02-08,84.17,82.898415
2023-02-09,83.46,82.911194
2023-02-10,85.46,77.9279
2023-02-11,85.46,84.36381
2023-02-12,85.46,85.98901
2023-02-13,85.98,85.3777
2023-02-14,84.96,85.2882
2023-02-15,84.11,84.29915
2023-02-16,83.84,84.29915
2023-02-17,81.97,83.65401
2023-02-18,81.97,82.33641
2023-02-19,81.97,82.16988
2023-02-20,82.79,82.383736
2023-02-21,82.14,82.99018
2023-02-22,79.55,83.083244
2023-02-23,82.08,80.411385
2023-02-24,82.31,81.72154
2023-02-25,82.31,82.59061
2023-02-26,82.31,82.33951
2023-02-27,81.24,83.64527
2023-02-28,83.21,83.32192
2023-03-01,83.68,82.695854
2023-03-02,84.15,84.10753
2023-03-03,85.74,83.79918
2023-03-04,85.74,79.26799
2023-03-05,85.74,86.75571
2023-03-06,85.86,85.064415
2023-03-07,83.03,85.66102
2023-03-08,82.1,83.43569
2023-03-09,81.0,82.0068
2023-03-10,82.3,80.12746
2023-03-11,82.3,80.81542
2023-03-12,82.3,81.636
2023-03-13,79.67,83.53896
2023-03-14,76.77,82.069405
2023-03-15,74.3,77.635544
2023-03-16,73.12,75.78765
2023-03-17,71.03,72.497635
2023-03-18,71.03,71.70179
2023-03-19,71.03,68.53838
2023-03-20,72.42,69.427666
2023-03-21,74.78,72.3911
2023-03-22,76.08,74.99511
2023-03-23,74.31,73.30071
2023-03-24,73.63,73.6853
2023-03-25,73.63,73.42224
2023-03-26,73.63,74.41871
2023-03-27,76.8,69.58753
2023-03-28,78.07,76.633
2023-03-29,77.51,76.59711
2023-03-30,78.45,77.299446
2023-03-31,79.19,74.66353
2023-04-01,79.19,78.99467
2023-04-02,79.19,79.794624
2023-04-03,85.81,78.08394
2023-04-04,85.7,84.67703
2023-04-05,85.89,85.748726
2023-04-06,86.56,84.218575
2023-04-07,86.56,87.0956
2023-04-08,86.56,87.127266
2023-04-09,86.56,87.707794
2023-04-10,86.56,86.455795
